0,1,2,3,4,5,6,7,8,9,10,11,12
2422,AN F313,"FLIGHT MECHANICS AND
CONTROLS",3,-,3,1,JAYAPRAKASH K S,G203,M W F,2,,06/12 AN
1001,BIO F110,BIOLOGY LABORATORY,-,2,1,1,Supratim Ghosh,A122,M,7 8,,
,,,,,,,Maddipatla Naga sai karthik,,,,,
,,,,,,2,Pragya Komal,A122,T,3 4,,
,,,,,,,Omalur Eshwari,,,,,
,,,,,,3,SHUVADEEP MAITY,A122,W,7 8,,
,,,,,,,K.Vaishali,,,,,
,,,,,,4,Shuvadeep Maity,A122,F,7 8,,
,,,,,,,Kodam Pradeep,,,,,
,,,,,,5,Satarupa Das,A122,Th,5 6,,
,,,,,,,Aditi Dey,,,,,
,,,,,,6,Naga Mohan K,A122,F,2 3,,
,,,,,,,Sumana Choudhury,,,,,
,,,,,,7,Ruchi Jain Dey,A122,W,2 3,,
,,,,,,,Nidhi O,,,,,
,,,,,,8,Nishith Gupta,A122,S,3 4,,
,,,,,,,Rolly Kumari,,,,,
,,,,,,9,Amartya Sanyal,A122,M,2 3,,
,,,,,,,Atish Kumar Behera,,,,,
,,,,,,10,Debashree B,A122,Th,3 4,,
,,,,,,,Miss Payel Gupta,,,,,
,,,,,,11,Debashree B,A122,T,5 6,,
,,,,,,,Devarakonda Himaja,,,,,
1002,BIO F111,GENERAL BIOLOGY,3,-,3,1,Jayati Ray Dutta,F105,M W F,5,,15/12 FN
,,,,,,,Sridev Mohapatra,,,,,
,,,,,,2,Vidya Rajesh,F102,M W F,1,,
,,,,,,,Gireesha T Mohannath,,,,,
,,Tutorial,,,,1,Jayati Ray Dutta,G101,T,7,,
,,,,,,2,K Pranav Narayan,G103,T,7,,
,,,,,,3,Sridev Mohapatra,G102,T,7,,
,,,,,,4,KIRTIMAAN SYAL,G104,T,7,,
,,,,,,5,Vivek Sharma,G105,T,7,,
,,,,,,6,Piyush Khandelia,G106,T,7,,
,,,,,,7,Gireesha T Mohannath,G107,T,7,,
,,,,,,8,Vidya Rajesh,G108,T,7,,
,,,,,,9,Trinath Jamma,G205,T,7,,
1112,BIO F211,BIOLOGICAL CHEMISTRY,3,-,3,1,DEBASHREE B,G102,M W F,3,,12/12 FN
,,Tutorial,,,,,Ali Akbar Shoukat Safdari,G102,T,1,,
1114,BIO F212,MICROBIOLOGY,3,1,4,1,RUCHI JAIN DEY,G102,M W F,8,,21/12 FN
,,Practical,,,,,Ruchi Jain Dey,A123,T,7 8 9,,
,,,,,,,Kotwal Shifa Bushra,,,,,
,,,,,,,Puja Bhardwaj,,,,,
1113,BIO F213,CELL BIOLOGY,3,-,3,1,NAGA MOHAN K,G102,M W,2,,06/12 FN
,,,,,,,Shuvadeep Maity,,,,,
,,,,,,,Naga Mohan K,G102,F,7,,
,,Tutorial,,,,,Minali Singh,G102,Th,1,,
1115,BIO F214,INTEGRATED BIOLOGY,3,-,3,1,JAYATI RAY DUTTA,G102,T Th S,4,,19/12 FN
,,Tutorial,,,,,Mude Hemanjali,G102,S,1,,
1941,BIO F216,"WATER SANITATION AND SOLID
WASTE MANAGEMENT",3,-,3,1,P SANKAR GANESH,G103,Th,10,,05/12 AN
1651,BIO F266,STUDY PROJECT,-,-,3,1,DEBASHREE B,,,,,
1427,BIO F311,RECOMBINANT DNA TECH,3,-,3,1,VIDYA RAJESH,G102,M W F,9,,18/12 FN
,,Tutorial,,,,,Devika.P,F203,Th,8,,
1428,BIO F312,PLANT PHYSIOLOGY,3,-,3,1,SRIDEV MOHAPATRA,G102,T Th S,2,,13/12 AN
,,Tutorial,,,,,Raunak Sharma,F203,T,8,,
1429,BIO F313,ANIMAL PHYSIOLOGY,3,-,3,1,PRAGYA KOMAL,G102,M W F,4,,08/12 AN
,,Tutorial,,,,,Sharon Mariam Abraham,F203,Th,9,,
1439,BIO F352,CELL & TISSUE CULTR TECH,3,1,4,1,K PRANAV NARAYAN,G104,M W F,3,,12/12 AN
1650,BIO F366,LABORATORY PROJECT,-,-,3,1,DEBASHREE B,,,,,
1736,BIO F367,LABORATORY PROJECT,-,-,3,1,DEBASHREE B,,,,,
1685,BIO F376,DESIGN PROJECT,-,-,3,1,DEBASHREE B,,,,,
1752,BIO F377,DESIGN PROJECT,-,-,3,1,DEBASHREE B,,,,,
1437,BIO F441,BIOCHEMICAL ENGINEERING,3,-,3,1,SUPRATIM GHOSH,G104,M W F,2,,06/12 AN
2122,BIO G510,"APPL OF COMP AND STATS IN
BIOLOGY",-,-,5,1,AMARTYA SANYAL,G105,T Th S,4,,07/12 FN
,,,,,,,Naga Mohan K,,,,,
,,Practical,,,,,Amartya Sanyal,LAB,T Th,6 7,,
,,,,,,,Naga Mohan K,,,,,
,,,,,,,Sakhare Kalyani Rajesh,,,,,
71,BIO G512,MOLEC MECH OF GENE EXPRE,3,2,5,1,GIREESHA T MOHANNATH,I210,T Th S,4,,16/12 FN
,,,,,,,Shuvadeep Maity,,,,,
,,Practical,,,,,Gireesha T Mohannath,A124,M W,8 9,,
,,,,,,,Abirami T S,,,,,
,,,,,,,Murali Krishna Ramgopal,,,,,
392,BIO G514,MOLECULAR IMMUNOLOGY,-,-,5,1,TRINATH JAMMA,G105,M W F,2,,13/12 FN
,,Practical,,,,,Trinath Jamma,A123,S,2 3,,
,,,,,,,Ashna Fathima,,,,,
,,,,,,,Sushma S Kumar,,,,,
,,,,,,,Trinath Jamma,A123,F,8 9,,
,,,,,,,Ashna Fathima,,,,,
,,,,,,,Sushma S Kumar,,,,,
2008,BIO G524,ANIMAL CELL TECHNOLOGY,3,2,5,1,PIYUSH KHANDELIA,G102,M W F,5,,07/12 FN
,,Practical,,,,,Jayasree P J,A121,M W,2 3,,
,,,,,,,Piyush Khandelia,,,,,
,,,,,,,Pragati Karemore,,,,,
2007,BIO G525,ENVIR BIOTECH & WASTE MGMT,3,2,5,1,P SANKAR GANESH,G102,T Th S,3,,09/12 FN
,,Practical,,,,,P Sankar Ganesh,A002,T Th,8 9,,
,,,,,,,Hemapriya S,,,,,
,,,,,,,Peddiraju N V S J Swaroop,,,,,
192,BIO G526,CANCER BIOLOGY,3,2,5,1,VIVEK SHARMA,G105,M W F,5,,09/12 FN
,,Practical,,,,,Vivek Sharma,A121,T Th,2 3,,
,,,,,,,Suryansh Sengar,,,,,
,,,,,,,Swati,,,,,
2168,BIO G561,ADV RECOMBINANT DNA TECH,3,2,5,1,NISHITH GUPTA,G105,M W F,4,,14/12 AN
,,Practical,,,,,Nishith Gupta,A124,T Th,6 7,,
,,,,,,,Poosala Ramya Sri,,,,,
,,,,,,,Ratnesh Kumar Srivastav,,,,,
2017,BIO G651,PROTEIN & ENZYME BIOENGG,3,2,5,1,KIRTIMAAN SYAL,G104,M W F,4,,16/12 FN
,,Practical,,,,,Kirtimaan Syal,A124,T Th,8 9,,
,,,,,,,Devarakonda Yogeshwar,,,,,
,,,,,,,Shubham Kumar Sinha,,,,,
549,BITS C790T,INDEPENDENT STUDY,-,-,2,1,V V KRISHNA VENUGANTI,,,,,
596,BITS C791T,TEACHING PRACTICE I,-,-,1,1,V V KRISHNA VENUGANTI,,,,,
520,BITS C797T,PHD SEMINAR,-,-,1,1,V V KRISHNA VENUGANTI,,,,,
553,BITS C799T,PHD THESIS,-,-,10,1,V V KRISHNA VENUGANTI,,,,,
2128,BITS E593,READING COURSE I,-,-,5,1,V V KRISHNA VENUGANTI,,,,,
2490,BITS E594,READING COURSE II,-,-,5,1,V V KRISHNA VENUGANTI,,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,-,-,5,1,TO BE ANNOUNCED,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,V V KRISHNA VENUGANTI,,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1,2,2,1,A Vasan,F102,S,1,,20/12 FN
,,,,,,2,ABHISHEK SARKAR,F103,S,1,,
,,Practical,,,,1,Md Zabiulla,D208 A,M,2 3,,
,,,,,,,Abhijit G R,,,,,
,,,,,,,Arshad Javed,,,,,
,,,,,,2,Gowlla Jyothsna,D208 A,S,3 4,,
,,,,,,,Ammavajjula Sesha Sai,,,,,
,,,,,,,Pardha Saradhi Gurugubelli V,,,,,
,,,,,,3,Ansab shafi mir,D208 A,F,2 3,,
,,,,,,,Balija Upendra,,,,,
,,,,,,,Md Ikramullah Khan,,,,,
,,,,,,4,Meenu Krishnan,D208 A,Th,3 4,,
,,,,,,,K Ramesh,,,,,
,,,,,,,Vijay Krupaker Maddu,,,,,
,,,,,,5,Ankur Abhishek,D208 A,T,3 4,,
,,,,,,,A Vasan,,,,,
,,,,,,,Alok Kumar,,,,,
,,,,,,6,Anna Mariya Shajan,D208 A,W,2 3,,
,,,,,,,Akshay Gundla,,,,,
